dum,t,solar,wind
995,995,0.0318,0.925369295
996,996,0.09738,0.939315353
997,997,0.11836,0.789908714
998,998,0.0964,0.901580913
999,999,0.1013,0.919721992
1000,1000,0.0656,0.842522822
1001,1001,0.0349,0.66573029
1002,1002,0,0.625020747
1003,1003,0,0.519684647
1004,1004,0,0.455116183
1005,1005,0,0.465502075
1006,1006,0,0.320273859
1007,1007,0,0.137290456
1008,1008,0,0.120817427
1009,1009,0,0.146074689
1010,1010,0,0.093381743
1011,1011,0,0.185809129
1012,1012,0,0.35526971
1013,1013,0,0.30946888
1014,1014,0,0.233489627
1015,1015,0,0.087838174
1016,1016,0,0.124846473
1017,1017,0,0.120817427
1018,1018,0.42898,0.203319502
1019,1019,0.80906,0.238946058
1020,1020,0.84096,0.384112033
1021,1021,0.91226,0.390365145
1022,1022,0.92086,0.584912863
1023,1023,0.8369,0.696477178
1024,1024,0.86158,0.879966805
1025,1025,0.87638,0.904348548
1026,1026,0.8239,0.947817427
1027,1027,0.34244,0.892244813
1028,1028,0,0.903780083
1029,1029,0,0.909771784
1030,1030,0,0.943435685
1031,1031,0,0.939431535
1032,1032,0,0.934639004
1033,1033,0,0.88673029
1034,1034,0,0.636497925
1035,1035,0,0.671307054
1036,1036,0,0.894394191
1037,1037,0,0.942551867
1038,1038,0,0.945680498
1039,1039,0,0.902327801
1040,1040,0,0.890390041
1041,1041,0,0.87093361
1042,1042,0.47756,0.467307054
1043,1043,0.74256,0.436717842
1044,1044,0.91564,0.265390041
1045,1045,0.85294,0.175655602
1046,1046,0.90326,0.095248963
1047,1047,0.85206,0.103609959
1048,1048,0.8951,0.100257261
1049,1049,0.88838,0.123095436
1050,1050,0.86656,0.164755187
1051,1051,0.38598,0.249236515
1052,1052,0,0.37246473
1053,1053,0,0.609290456
1054,1054,0,0.814356846
1055,1055,0,0.725937759
